iter	RMSE
0	194.1030088
1	190.8857009
2	187.6591375
3	184.9325778
4	182.4418487
5	179.6554345
6	176.6362308
7	174.0142565
8	171.3286721
9	168.3693341
10	165.628799
11	162.8623739
12	160.3511971
13	158.5249784
14	156.0336691
15	153.8396119
16	151.666524
17	149.4929237
18	147.9647575
19	145.7777696
20	143.6879142
21	141.3684586
22	139.7996326
23	137.9250766
24	135.9191946
25	134.2834321
26	132.7178524
27	131.231673
28	129.3643525
29	127.7542921
30	125.7962925
31	124.0443125
32	122.2692001
33	120.7460648
34	119.1725345
35	117.7269398
36	116.1685393
37	114.7742321
38	113.3039246
39	112.0439321
40	110.8012446
41	109.516419
42	108.4585979
43	107.2908694
44	106.6218716
45	105.5951706
46	104.5144217
47	103.4443876
48	102.2497306
49	101.1001339
50	100.3194878
51	99.1113837
52	98.17247166
53	97.13080684
54	96.16427808
55	95.43418661
56	94.39735793
57	93.37956394
58	92.5579209
59	91.46608351
60	90.50656705
61	89.77184154
62	88.96584534
63	88.06995044
64	87.41181019
65	86.71275509
66	85.70066192
67	85.30059496
68	84.65044874
69	83.79875416
70	83.22288909
71	82.5394837
72	81.82730128
73	81.07600803
74	80.27671961
75	79.60308901
76	78.71473612
77	77.99039104
78	77.42950591
79	76.53045732
80	75.93286783
81	75.3555029
82	74.4729766
83	73.84504783
84	73.3487929
85	72.78526245
86	72.11003794
87	71.37364328
88	70.58985719
89	69.94696621
90	69.25680004
91	68.65899383
92	68.19008562
93	67.59170476
94	67.09163887
95	66.64995129
96	66.18453161
97	65.7873754
98	65.49963414
99	64.82772022
100	64.1585471
101	63.59873376
102	63.2940316
103	62.80158499
104	62.34388251
105	62.03246494
106	61.46654544
107	60.89786514
108	60.68781573
109	60.20611311
110	59.8229414
111	59.35433968
112	59.07661297
113	58.74024525
114	58.32660742
115	57.95153533
116	57.58027751
117	57.2865104
118	56.86056644
119	56.46133063
120	56.00306469
121	55.63481056
122	55.25651805
123	54.94616809
124	54.55876215
125	54.16584485
126	53.88770703
127	53.48515335
128	53.10120473
129	52.92333645
130	52.61941624
131	52.39486405
132	51.87091389
133	51.51810075
134	51.14165759
135	50.85990359
136	50.59281112
137	50.36232819
138	50.11199376
139	49.88848053
140	49.70466931
141	49.41797997
142	49.09909307
143	48.83046537
144	48.40881746
145	48.1759478
146	48.00060547
147	47.75190439
148	47.32951504
149	46.84714602
150	46.48873754
151	46.24481995
152	45.91755603
153	45.74083455
154	45.47889442
155	45.25911177
156	45.09524818
157	44.87339952
158	44.61394275
159	44.35722636
160	44.06555314
161	43.78808669
162	43.59291227
163	43.34726582
164	43.18140661
165	43.02284075
166	42.88381608
167	42.73772543
168	42.55195832
169	42.33580903
170	42.14615523
171	41.97846907
172	41.73903216
173	41.59853716
174	41.37335755
175	41.11588572
176	40.69137916
177	40.43294954
178	40.26444294
179	40.05610605
180	39.84425162
181	39.6492177
182	39.54505396
183	39.23289974
184	38.99412094
185	38.80160924
186	38.61527081
187	38.49225659
188	38.35710705
189	38.20840911
190	37.8517526
191	37.57541803
192	37.40941053
193	37.26724925
194	37.0097926
195	36.80942327
196	36.56452371
197	36.3142395
198	35.98648514
199	35.78668845
200	35.52786548
201	35.33856726
202	35.23071097
203	35.0081176
204	34.84568473
205	34.60327822
206	34.33470875
207	34.10055158
208	33.78440717
209	33.59365414
210	33.47931288
211	33.29538091
212	33.15477041
213	32.98283618
214	32.84989593
215	32.74187854
216	32.63337339
217	32.53451178
218	32.33663891
219	32.2465659
220	32.15233605
221	31.98305833
222	31.74531985
223	31.512125
224	31.24762995
225	31.09719682
226	30.95089278
227	30.70011558
228	30.5518237
229	30.42230137
230	30.2038741
231	29.96918774
232	29.85865493
233	29.67577122
234	29.53860107
235	29.43199078
236	29.34530039
237	29.26611393
238	29.03646425
239	28.9895115
240	28.80553698
241	28.62615923
242	28.52667299
243	28.33869025
244	28.22151578
245	28.00914166
246	27.91874078
247	27.78140665
248	27.68573868
249	27.61274667
250	27.55172753
251	27.40555394
252	27.29804497
253	27.14890532
254	27.02540188
255	26.94676304
256	26.77374302
257	26.68981547
258	26.53038658
259	26.3924734
260	26.21478591
261	26.0429036
262	25.95412901
263	25.83578107
264	25.69926762
265	25.61500323
266	25.52547085
267	25.43083005
268	25.31348096
269	25.18580813
270	25.07394779
271	24.92936166
272	24.79454799
273	24.73353167
274	24.55996416
275	24.47885379
276	24.38960291
277	24.3163185
278	24.20109405
279	24.10327195
280	23.95463459
281	23.81834079
282	23.74640002
283	23.67089751
284	23.58854945
285	23.44916436
286	23.31573245
287	23.22964261
288	23.17964257
289	23.13018954
290	23.05586418
291	23.03443742
292	22.97271454
293	22.83904299
294	22.77839681
295	22.63814523
296	22.54346729
297	22.48531161
298	22.4406488
299	22.34775528
300	22.25171003
301	22.11115315
